a,b,stratum,identity,cosine,same_family
P04080,Q9UBI1,random,0.1282,0.9784,False
A0A087WV53,P36066,random,0.1274,0.8022,False
P40742,Q9BQD7,random,0.1794,0.863,False
Q0VGL1,Q9CR02,random,0.1086,0.9121,False
A8MXZ3,Q9LJW3,random,0.1254,0.5455,False
Q91WQ9,Q9SVI0,random,0.1282,0.8833,False
E9Q343,Q8LA14,random,0.0638,0.9311,False
Q14093,Q8VDS4,random,0.1703,0.8881,False
P34453,P91477,random,0.1439,0.854,False
Q05874,Q8I7Q0,random,0.1382,0.8878,False
O15511,Q8C436,random,0.1535,0.8973,False
O80448,P53854,random,0.123,0.9025,False
C0H3V2,P20630,random,0.0886,0.7316,False
Q6ZP29,Q8JHI3,random,0.125,0.866,False
Q61878,Q9C992,random,0.1116,0.8569,False
O14521,Q9LHR4,random,0.1354,0.8973,False
O32149,Q99547,random,0.1065,0.7812,False
O05243,P32630,random,0.1506,0.8688,False
O62193,P34167,random,0.1101,0.7266,False
P02753,Q9SB00,random,0.108,0.9074,False
F1QQI2,Q06265,random,0.0774,0.9367,False
Q3TZX3,Q8N6K0,random,0.1481,0.6376,False
P36363,Q9VLP9,random,0.1242,0.9089,False
P60624,Q9XZT6,random,0.1,0.8062,False
P43346,Q9CQR5,random,0.1412,0.9118,False
O70139,O81223,random,0.1106,0.8994,False
P04152,Q9XGX0,random,0.1475,0.7144,False
A9JR86,Q9LTE1,random,0.1209,0.8527,False
O01971,Q9FI83,random,0.1285,0.8987,False
P04080,P37340,random,0.0808,0.7529,False
G5EGC4,P91851,random,0.1121,0.8752,False
P35247,P40403,random,0.1298,0.7859,False
P77218,Q9D7V1,random,0.1617,0.849,False
O42222,O65370,random,0.0963,0.6095,False
P05017,P19541,random,0.1211,0.937,False
P34519,Q9ZUC2,random,0.1672,0.7769,False
P31678,Q12846,random,0.1543,0.8171,False
P37610,Q8NEQ6,random,0.1453,0.6803,False
P61851,Q8I0G4,random,0.1017,0.8369,False
Q66I12,Q8IVJ8,random,0.0879,0.8498,False
O43325,Q8BGR8,random,0.1921,0.9668,False
Q96IZ0,Q9FIT1,random,0.1719,0.9665,False
O70355,Q6P444,random,0.1542,0.7361,False
O07009,Q6DC64,random,0.1673,0.813,False
Q1LUA8,Q45588,random,0.1233,0.9207,False
P24232,P46999,random,0.1531,0.8672,False
O06716,P36001,random,0.0767,0.8685,False
Q7XA78,Q8GXS8,random,0.1418,0.9508,False
P54356,P92953,random,0.1111,0.8809,False
O34817,P0CW82,random,0.1276,0.7137,False
O93430,P34328,random,0.0833,0.766,False
P21306,P38774,random,0.0772,0.8913,False
Q70PY2,Q8N9W7,random,0.1897,0.7103,False
Q60843,Q8IUE1,random,0.1532,0.8918,False
Q52K95,Q9Y041,random,0.0686,0.9169,False
A8E7N9,Q02427,random,0.1017,0.8479,False
Q06541,Q9D7E3,random,0.1311,0.7298,False
Q8IUR0,Q92643,random,0.1241,0.9307,False
Q9BXI6,Q9ZUC2,random,0.1204,0.8812,False
O35031,P40584,random,0.1587,0.7463,False
P48651,Q96KD3,random,0.1677,0.8942,False
Q09324,Q80ZF2,random,0.1355,0.8915,False
P31324,P67910,random,0.1612,0.8579,False
O22841,Q8WXS4,random,0.1405,0.8691,False
P04152,Q60737,random,0.167,0.7912,False
P49637,P80872,random,0.1307,0.8616,False
O14960,P35318,random,0.1777,0.872,False
P76221,Q9LEA7,random,0.1573,0.829,False
P0AB20,Q9UNE2,random,0.1016,0.8972,False
O54775,Q570X5,random,0.1432,0.8729,False
P91343,Q9C615,random,0.1469,0.8996,False
P40154,Q8BR90,random,0.1594,0.8822,False
O02639,P18196,random,0.1617,0.8522,False
Q61826,Q96I15,random,0.1646,0.7679,False
P39621,Q8VYJ2,random,0.1467,0.8304,False
Q9M1J7,Q9VEW2,random,0.0479,0.8218,False
O34558,P57106,random,0.1671,0.8971,False
O34831,Q9M0Z5,random,0.1611,0.96,False
A2AKK5,Q07949,random,0.1318,0.8972,False
B3H453,Q4KM14,random,0.1013,0.8349,False
P75826,Q94A52,random,0.1509,0.8514,False
P55087,Q93YP7,random,0.1617,0.8433,False
P19622,Q15846,random,0.1325,0.8662,False
Q07654,Q5F2N3,random,0.0611,0.8952,False
Q810P2,Q96N03,random,0.1531,0.8169,False
O34308,Q6NNP0,random,0.1384,0.8203,False
Q9SA27,Q9ZW26,random,0.1394,0.9034,False
P53996,Q56YW9,random,0.1192,0.7885,False
Q6PFT6,Q9SEE9,random,0.1039,0.6526,False
O82274,Q9BUY7,random,0.1133,0.9254,False
Q9BUR5,Q9SVF3,random,0.1455,0.8584,False
O60637,P37674,random,0.1506,0.8252,False
Q8BGA9,Q9UBC7,random,0.0947,0.8899,False
P37268,Q9FM91,random,0.1708,0.8318,False
A3KQA5,P0AER5,random,0.1481,0.715,False
Q8C0C7,Q9C6M2,random,0.16,0.8562,False
Q8BU31,Q8GY96,random,0.175,0.7101,False
P28248,Q9NYP7,random,0.1558,0.7783,False
Q6NKR2,Q9VYV3,random,0.1337,0.8414,False
P08556,Q2NL98,random,0.1414,0.6969,False
O34317,Q9BTA0,random,0.1522,0.8361,False
Q06828,Q9SUC0,random,0.1522,0.8133,False
P21855,Q9M2C9,random,0.1711,0.835,False
P0A7D7,P0C0P8,random,0.1055,0.8771,False
P90921,Q8N4H0,random,0.0842,0.93,False
Q6P1Z5,Q9LTF2,random,0.1136,0.9055,False
Q7T338,Q96HD1,random,0.108,0.8703,False
Q8N5Z0,Q9NV29,random,0.0918,0.8179,False
O34381,Q9VF27,random,0.1202,0.88,False
P12272,Q9FKZ3,random,0.1369,0.906,False
P17329,Q9N2V6,random,0.1462,0.7692,False
O54709,Q8LDU1,random,0.1411,0.8743,False
P50897,Q6DBY9,random,0.1544,0.9331,False
O45168,Q8N2G6,random,0.1064,0.9001,False
P27810,Q8CEK3,random,0.0687,0.8791,False
P39314,Q8NG68,random,0.1721,0.7796,False
Q9LSL6,Q9V7D2,random,0.1631,0.8959,False
P54544,Q9R014,random,0.1448,0.8477,False
P35184,P54175,random,0.1393,0.7389,False
F4HVZ5,P0A988,random,0.1676,0.7066,False
P80455,Q9SRM9,random,0.0926,0.938,False
P63254,Q7TSN2,random,0.1053,0.6922,False
P16433,Q91W67,random,0.15,0.9214,False
O75223,P91455,random,0.1564,0.823,False
O34932,Q9S7R4,random,0.1014,0.7289,False
P0ACI6,P24309,random,0.1084,0.7953,False
Q6UXP3,Q9LXR9,random,0.0974,0.8891,False
P09163,Q9D4C9,random,0.1117,0.8572,False
Q8LCL3,Q96A26,random,0.1497,0.9121,False
O70354,O81514,random,0.1445,0.8355,False
P07478,P0AA60,random,0.1594,0.6561,False
P33622,Q12167,random,0.0603,0.8804,False
F4INN2,P0C7L0,random,0.1138,0.7924,False
P01797,P05637,random,0.1214,0.7317,False
Q7Z4L0,Q9SZ51,random,0.0968,0.7197,False
P47158,Q6E279,random,0.1722,0.9283,False
O82275,P51419,random,0.1679,0.7936,False
P48360,Q61469,random,0.152,0.8808,False
Q9QXK2,Q9Y3V2,random,0.1248,0.9539,False
Q925N4,Q9D7H4,random,0.1562,0.8769,False
Q47157,Q9SEZ9,random,0.0843,0.8454,False
P07350,P27305,random,0.1429,0.8717,False
O61492,O76584,random,0.1329,0.8502,False
O95772,Q9BRQ0,random,0.138,0.8659,False
Q19269,Q1JPP8,random,0.0596,0.8164,False
Q8N136,Q9FRL5,random,0.1391,0.6879,False
P70271,Q96T75,random,0.1061,0.8762,False
A3KNM5,Q64462,random,0.0509,0.7793,False
Q39261,Q70II3,random,0.1622,0.9466,False
P42297,Q9H400,random,0.1149,0.6897,False
P20081,Q14761,random,0.1538,0.6605,False
Q9C7X8,Q9NX36,random,0.1403,0.8477,False
O31934,Q8BUH1,random,0.1353,0.9069,False
P09486,Q9CXL1,random,0.1287,0.922,False
O34449,O60687,random,0.1551,0.8496,False
O04904,Q96IZ0,random,0.1705,0.8982,False
Q5RKV6,Q9FK16,random,0.0772,0.7755,False
P08556,Q9VTJ8,random,0.1451,0.7699,False
P53095,Q8VYF1,random,0.1186,0.7968,False
Q8IV50,Q96QI5,random,0.1826,0.8958,False
Q5PP28,Q93615,random,0.1607,0.8342,False
Q96NS5,Q9W141,random,0.0927,0.8474,False
Q0P457,Q8T3L6,random,0.1576,0.8856,False
Q8BNI4,Q8L936,random,0.1518,0.9002,False
P09053,Q9NVF7,random,0.1763,0.9095,False
